이지원,37,수원시 영통구,여,1913-12-12,user5174@google.com,63.1,150.7
백승현,59,영월군,남,1960-12-30,user2237@daum.net,58.6,165.4
백영길,35,과천시,남,1976-02-04,user3951@google.com,53.6,152.1
김윤서,61,횡성군,남,1957-12-28,user2595@google.com,51.3,151.1
백성현,66,고양시 일산서구,남,1945-08-27,user9508@google.com,62.8,151.4
박주원,21,용인시 수지구,여,1926-04-17,user3456@daum.net,73.7,153.0
박수빈,48,용인시 수지구,남,1948-07-04,user5911@daum.net,62.9,156.9
장서윤,57,강릉시,남,1957-05-15,user7823@google.com,55.0,163.6
류재호,29,안산시 단원구,남,1917-03-10,user4495@daum.net,78.4,159.5
성옥자,37,서산시,남,1916-06-02,user3655@google.com,72.2,174.8
김영철,68,부천시 소사구,남,1935-11-15,user8306@naver.com,68.2,168.4
권지훈,75,옥천군,여,1908-09-21,user1452@naver.com,75.0,159.2
황현지,53,부여군,여,1959-03-29,user836@google.com,66.9,155.1
최영철,41,김포시,남,1961-01-17,user9354@google.com,55.7,164.3
김옥순,60,아산시,남,1923-03-02,user8595@google.com,58.3,175.1
이도현,25,예산군,남,1942-01-27,user529@google.com,75.0,177.6
황현주,68,청주시 서원구,여,1916-04-06,user629@daum.net,55.3,167.0
김현주,23,인제군,여,1992-10-06,user3182@naver.com,64.0,176.5
박영환,56,군포시,남,1918-11-27,user8441@daum.net,74.1,178.9
황현준,36,안양시 만안구,여,1956-03-23,user4236@daum.net,55.5,159.4
이정웅,34,인제군,남,1930-08-17,user2892@daum.net,74.4,155.1
김민서,33,고양시 일산서구,여,1980-02-02,user6952@google.com,66.6,161.2
이정웅,47,태백시,남,1936-01-22,user2315@google.com,67.8,156.5
김준혁,70,용인시,여,1936-02-03,user1838@google.com,53.1,177.2
안미숙,35,성남시 수정구,남,1985-09-08,user3442@google.com,73.9,173.9
우현준,78,가평군,남,1926-06-19,user6090@google.com,56.1,159.7
김지훈,73,청양군,남,1914-11-29,user5589@daum.net,70.9,176.7
이은서,21,청주시 상당구,여,1982-06-22,user1482@daum.net,79.5,153.7
윤지연,28,청주시 상당구,남,1918-03-09,user1135@naver.com,56.6,168.4
박지후,55,삼척시,남,1960-03-08,user5812@google.com,52.1,162.9
서정식,22,광주시,여,1984-06-12,user5551@google.com,58.2,162.0
최정순,78,여주시,남,1912-10-10,user2460@google.com,65.9,161.5
김병철,46,인제군,남,1914-12-02,user3789@daum.net,65.4,159.5
정영미,63,계룡시,남,1926-05-14,user8619@naver.com,64.2,155.4
우서현,73,당진시,여,1910-11-02,user6917@google.com,78.0,155.2
이성훈,38,포천시,여,1910-08-30,user3101@daum.net,78.9,177.7
김정순,80,속초시,남,1920-11-16,user3623@daum.net,71.9,161.5
최도윤,47,보령시,여,1921-12-09,user721@google.com,79.2,155.5
장옥순,76,계룡시,여,1923-03-05,user7038@daum.net,79.6,168.2
남미정,58,증평군,여,1911-06-26,user4338@daum.net,56.3,171.1
박성호,63,강릉시,여,1927-10-26,user1588@google.com,65.5,151.3
이재현,49,가평군,여,1911-12-08,user4848@google.com,63.7,165.7
김현준,59,천안시 동남구,남,1911-09-09,user5832@naver.com,58.1,155.0
박영미,48,오산시,여,1909-12-15,user432@daum.net,74.8,168.5
배지훈,45,안성시,남,1963-05-14,user2759@daum.net,55.3,178.9
허우진,50,이천시,남,1921-01-03,user3257@naver.com,73.4,150.6
이우진,65,태백시,남,1911-08-27,user191@daum.net,54.4,161.6
김수진,31,이천시,여,1989-08-28,user9098@naver.com,72.2,150.5
박현준,44,성남시 수정구,여,1966-09-29,user2870@naver.com,51.1,177.8
이지혜,71,평택시,여,1938-06-01,user9822@google.com,72.1,177.0
최유진,67,양평군,여,1909-10-06,user7838@daum.net,55.3,171.9
김정식,56,강릉시,여,1925-07-02,user4946@daum.net,70.9,177.5
황현숙,42,정선군,남,1927-08-25,user5929@daum.net,78.4,160.6
최경수,53,예산군,여,1941-06-25,user6881@naver.com,71.6,169.1
이민석,67,부천시 오정구,여,1930-10-10,user3024@daum.net,60.2,166.6
이성수,59,연천군,남,1941-07-15,user720@naver.com,61.1,163.0
이미정,26,김포시,여,1925-11-23,user7928@daum.net,62.7,165.6
최지현,42,서산시,여,1973-04-25,user5202@naver.com,54.0,156.5
이영자,24,이천시,여,1952-03-09,user1608@google.com,65.4,179.9
김예은,45,천안시 서북구,여,1967-06-11,user8181@google.com,53.8,150.8
